,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hermanus,-34.4187,19.2345,287.0,67,100,5.36,ZA,1662890133
1,Cururupu,-1.8283,-44.8683,298.22,86,10,1.65,BR,1662890134
2,Vélez-Málaga,36.7726,-4.1005,305.36,46,80,3.15,ES,1662890134
3,Faya,18.3851,42.4509,302.21,20,51,3.39,SA,1662890135
4,Castro,-24.7911,-50.0119,285.6,97,100,2.63,BR,1662890135
5,Hithadhoo,-0.6,73.0833,301.06,70,53,6.34,MV,1662890135
6,Busselton,-33.65,115.3333,287.04,80,22,0.86,AU,1662890075
7,Los Llanos de Aridane,28.6585,-17.9182,296.01,82,0,3.09,ES,1662890136
8,Trzebnica,51.3108,17.0633,292.19,89,100,5.21,PL,1662890136
9,Talara,-4.5772,-81.2719,290.13,85,62,7.06,PE,1662890134
10,Bluff,-46.6,168.3333,281.42,84,48,3.72,NZ,1662890137
11,Alcântara,-2.4089,-44.4147,300.26,82,1,3.89,BR,1662890137
12,Saint Paul Harbor,57.79,-152.4072,283.71,96,100,4.22,US,1662890138
13,Gladstone,-23.85,151.25,292.11,63,3,1.03,AU,1662890138
14,Ribeira Brava,32.65,-17.0667,298.55,93,100,3.36,PT,1662890138
15,Bethel,41.3712,-73.414,293.08,84,94,0.91,US,1662890139
16,Benghazi,32.1167,20.0667,301.78,58,0,4.1,LY,1662890139
17,Punta Arenas,-53.15,-70.9167,276.21,81,0,7.72,CL,1662890139
18,Ushuaia,-54.8,-68.3,278.96,56,20,2.57,AR,1662890138
19,Salinas,36.6777,-121.6555,295.77,81,99,0.65,US,1662890140
20,Bereda,43.2686,-7.5406,300.05,46,73,1.41,ES,1662890140
21,College,64.8569,-147.8028,280.32,87,95,1.56,US,1662890141
22,Clyde River,70.4692,-68.5914,275.28,100,100,0.0,CA,1662890141
23,Longyearbyen,78.2186,15.6401,273.56,78,81,2.77,SJ,1662890142
24,Basco,20.4487,121.9702,301.23,75,100,10.18,PH,1662890057
25,Ashland,40.8167,-82.2665,291.45,95,100,2.37,US,1662890142
26,Manggar,-2.8833,108.2667,301.28,73,39,3.48,ID,1662890143
27,Sitka,57.0531,-135.33,282.25,91,0,1.2,US,1662890143
28,Hobart,-42.8794,147.3294,281.51,64,20,8.23,AU,1662890021
29,Hare Bay,48.8499,-54.0148,285.79,95,100,8.93,CA,1662890143
30,Port Alfred,-33.5906,26.891,294.36,56,99,3.58,ZA,1662890144
31,Acapulco de Juárez,16.8634,-99.8901,298.12,86,100,3.53,MX,1662890144
32,Cidreira,-30.1811,-50.2056,282.74,77,0,2.12,BR,1662890144
33,Viedma,-40.8135,-62.9967,280.55,39,0,4.45,AR,1662890145
34,Airai,-8.9266,125.4092,290.77,78,87,0.89,TL,1662890145
35,Taoudenni,22.6783,-3.9836,313.28,15,8,5.57,ML,1662890146
36,Bambous Virieux,-20.3428,57.7575,298.29,61,20,5.66,MU,1662890147
37,Tuktoyaktuk,69.4541,-133.0374,276.63,88,100,3.84,CA,1662890147
38,Caucaia,-3.7361,-38.6531,299.12,70,75,5.66,BR,1662890073
39,Bathsheba,13.2167,-59.5167,301.49,78,20,6.17,BB,1662890148
40,Coahuayana Viejo,18.7333,-103.6833,298.14,93,100,1.49,MX,1662890148
41,Rikitea,-23.1203,-134.9692,295.47,75,0,4.97,PF,1662890148
42,Boma,7.0805,-2.1697,297.21,79,100,1.28,GH,1662890148
43,Cape Town,-33.9258,18.4232,290.58,62,40,5.66,ZA,1662890054
44,Waitati,-45.75,170.5667,282.48,90,100,2.61,NZ,1662890149
45,Sola,-13.8833,167.55,299.52,78,40,2.57,VU,1662890150
46,Saskylakh,71.9167,114.0833,275.54,81,100,4.03,RU,1662890150
47,Klyuchi,52.2667,79.1667,296.45,26,76,5.72,RU,1662890151
48,Nome,64.5011,-165.4064,280.46,78,100,7.21,US,1662890151
